n,time,tpo,structure,operation
100,85,0.85,skip list,insert
100,11,0.11,skip list,search
100,49,0.49,skip list,delete
100,39,0.39,binary tree,insert
100,22,0.22,binary tree,search
100,23,0.23,binary tree,delete
100,35,0.35,linked list,insert
100,19,0.19,linked list,search
100,27,0.27,linked list,delete
100,73,0.73,skip list,insert
100,11,0.11,skip list,search
100,47,0.47,skip list,delete
100,43,0.43,binary tree,insert
100,25,0.25,binary tree,search
100,23,0.23,binary tree,delete
100,36,0.36,linked list,insert
100,19,0.19,linked list,search
100,27,0.27,linked list,delete
100,74,0.74,skip list,insert
100,11,0.11,skip list,search
100,49,0.49,skip list,delete
100,43,0.43,binary tree,insert
100,24,0.24,binary tree,search
100,25,0.25,binary tree,delete
100,36,0.36,linked list,insert
100,19,0.19,linked list,search
100,26,0.26,linked list,delete
100,76,0.76,skip list,insert
100,12,0.12,skip list,search
100,48,0.48,skip list,delete
100,41,0.41,binary tree,insert
100,23,0.23,binary tree,search
100,23,0.23,binary tree,delete
100,35,0.35,linked list,insert
100,19,0.19,linked list,search
100,27,0.27,linked list,delete
500,388,0.776,skip list,insert
500,74,0.148,skip list,search
500,252,0.504,skip list,delete
500,264,0.528,binary tree,insert
500,163,0.326,binary tree,search
500,128,0.256,binary tree,delete
500,339,0.678,linked list,insert
500,403,0.806,linked list,search
500,286,0.572,linked list,delete
500,374,0.748,skip list,insert
500,77,0.154,skip list,search
500,251,0.502,skip list,delete
500,266,0.532,binary tree,insert
500,162,0.324,binary tree,search
500,127,0.254,binary tree,delete
500,315,0.63,linked list,insert
500,414,0.828,linked list,search
500,296,0.592,linked list,delete
500,384,0.768,skip list,insert
500,80,0.16,skip list,search
500,250,0.5,skip list,delete
500,288,0.576,binary tree,insert
500,185,0.37,binary tree,search
500,129,0.258,binary tree,delete
500,317,0.634,linked list,insert
500,408,0.816,linked list,search
500,294,0.588,linked list,delete
500,372,0.744,skip list,insert
500,77,0.154,skip list,search
500,252,0.504,skip list,delete
500,278,0.556,binary tree,insert
500,175,0.35,binary tree,search
500,129,0.258,binary tree,delete
500,332,0.664,linked list,insert
500,408,0.816,linked list,search
500,284,0.568,linked list,delete
500,387,0.774,skip list,insert
500,79,0.158,skip list,search
500,254,0.508,skip list,delete
500,275,0.55,binary tree,insert
500,183,0.366,binary tree,search
500,132,0.264,binary tree,delete
500,314,0.628,linked list,insert
500,403,0.806,linked list,search
500,290,0.58,linked list,delete
1000,780,0.78,skip list,insert
1000,166,0.166,skip list,search
1000,526,0.526,skip list,delete
1000,648,0.648,binary tree,insert
1000,421,0.421,binary tree,search
1000,263,0.263,binary tree,delete
1000,1145,1.145,linked list,insert
1000,2277,2.277,linked list,search
1000,1109,1.109,linked list,delete
1000,772,0.772,skip list,insert
